SNo,Date,Province,Country,Last Update,Confirmed,Deaths,Recovered
1,01/22/2025,,CountryA,01/22/2025 17:00,13,1,0
2,01/22/2025,South,CountryD,01/22/2025 17:00,3,1,4
3,01/22/2025,Beta,CountryB,01/22/2025 17:00,7,0,3
4,01/22/2025,South,CountryB,01/22/2025 17:00,12,1,4
5,01/22/2025,South,CountryB,01/22/2025 17:00,17,3,9
6,01/22/2025,North,CountryA,01/22/2025 17:00,6,0,5
7,01/22/2025,Beta,CountryC,01/22/2025 17:00,15,0,8
8,01/22/2025,Delta,CountryC,01/22/2025 17:00,12,0,5
9,01/22/2025,Delta,CountryB,01/22/2025 17:00,15,0,5
10,01/22/2025,Alpha,CountryC,01/22/2025 17:00,13,1,3
11,01/23/2025,Beta,CountryC,01/23/2025 17:00,24,1,10
12,01/23/2025,Epsilon,CountryC,01/23/2025 17:00,14,1,0
13,01/23/2025,Beta,CountryC,01/23/2025 17:00,26,1,13
14,01/23/2025,Delta,CountryD,01/23/2025 17:00,24,2,9
15,01/23/2025,Delta,CountryB,01/23/2025 17:00,25,4,13
16,01/23/2025,Beta,CountryB,01/23/2025 17:00,34,3,16
17,01/23/2025,,CountryD,01/23/2025 17:00,15,3,5
18,01/23/2025,Central,CountryA,01/23/2025 17:00,5,1,5
19,01/23/2025,Gamma,CountryA,01/23/2025 17:00,16,2,3
20,01/23/2025,Delta,CountryB,01/23/2025 17:00,25,6,16
21,01/24/2025,Gamma,CountryA,01/24/2025 17:00,26,2,6
22,01/24/2025,Beta,CountryA,01/24/2025 17:00,34,4,17
23,01/24/2025,Gamma,CountryB,01/24/2025 17:00,34,4,8
24,01/24/2025,Alpha,CountryB,01/24/2025 17:00,13,2,5
25,01/24/2025,South,CountryD,01/24/2025 17:00,17,4,13
26,01/24/2025,Central,CountryB,01/24/2025 17:00,10,1,7
27,01/24/2025,Delta,CountryA,01/24/2025 17:00,29,6,21
28,01/24/2025,Central,CountryA,01/24/2025 17:00,10,2,9
29,01/24/2025,Epsilon,CountryC,01/24/2025 17:00,15,2,3
30,01/24/2025,Epsilon,CountryB,01/24/2025 17:00,15,3,8
31,01/25/2025,Central,CountryB,01/25/2025 17:00,16,4,12
32,01/25/2025,Alpha,CountryD,01/25/2025 17:00,21,3,10
33,01/25/2025,Beta,CountryB,01/25/2025 17:00,41,4,17
34,01/25/2025,North,CountryB,01/25/2025 17:00,13,2,7
35,01/25/2025,Delta,CountryD,01/25/2025 17:00,32,8,24
